
NVIDIA Corporation,Last: 544.43,Change:  1.94
"Date: December 7, 2020, 6:59 PM EST",Bid: 542,Ask: 544.27,Size: 1*1,"Volume: 2,478,620"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 11 2020,NVDA201211C00260000,279.5,0,282.75,285.85,0,0.02,1,0,0,260.00,NVDA201211P00260000,0.00999999977648258,0,0,0.02,0,2.1125,-0.0003,0,0
Fri Dec 11 2020,NVDA201211C00265000,274.675003051758,0,277.75,280.85,0,0.02,1,0,0,265.00,NVDA201211P00265000,0.00999999977648258,0,0,0.02,0,2.0477,-0.0003,0,0
Fri Dec 11 2020,NVDA201211C00270000,269.299987792969,0,272.75,275.85,0,0.02,1,0,0,270.00,NVDA201211P00270000,0.00999999977648258,0,0,0.02,0,2.001,-0.0003,0,0
Fri Dec 11 2020,NVDA201211C00275000,264.625,0,267.75,270.85,0,0.02,1,0,0,275.00,NVDA201211P00275000,0.0149999996647239,0,0,0.39,0,2.4327,-0.0026,0.0001,0
Fri Dec 11 2020,NVDA201211C00280000,259.200012207031,0,262.75,265.85,0,0.02,1,0,0,280.00,NVDA201211P00280000,0.0149999996647239,0,0,0.39,0,2.3688,-0.0026,0.0001,0
Fri Dec 11 2020,NVDA201211C00285000,254.625,0,257.75,260.85,0,0.02,1,0,0,285.00,NVDA201211P00285000,0.0149999996647239,0,0,0.39,0,2.314,-0.0027,0.0001,0
Fri Dec 11 2020,NVDA201211C00290000,249.549995422363,0,252.75,255.85,0,0.02,1,0,0,290.00,NVDA201211P00290000,0.0149999996647239,0,0,0.39,0,2.2559,-0.0028,0.0001,0
Fri Dec 11 2020,NVDA201211C00295000,244.549995422363,0,247.75,250.85,0,0.02,1,0,0,295.00,NVDA201211P00295000,0.0149999996647239,0,0,0.46,0,2.2022,-0.0029,0.0001,0
Fri Dec 11 2020,NVDA201211C00300000,239.725006103516,0,242.75,245.85,0,0.02,1,0,0,300.00,NVDA201211P00300000,0.0149999996647239,0.025,0,0.36,2,1.8624,-0.0008,0,124
Fri Dec 11 2020,NVDA201211C00305000,234.574996948242,0,237.75,240.85,0,0.02,1,0,0,305.00,NVDA201211P00305000,0.0199999995529652,0,0,0.39,0,2.0884,-0.003,0.0001,0
Fri Dec 11 2020,NVDA201211C00310000,229.625,0,232.75,235.85,0,0.02,1,0,0,310.00,NVDA201211P00310000,0.025000000372529,0,0,0.39,0,2.0353,-0.0031,0.0001,0
Fri Dec 11 2020,NVDA201211C00315000,224.549995422363,0,227.75,230.85,0,0.02,1,0,0,315.00,NVDA201211P00315000,0.025000000372529,0,0,0.39,0,1.9798,-0.0032,0.0001,2
Fri Dec 11 2020,NVDA201211C00320000,219.549995422363,0,222.75,225.85,0,0.02,1,0,0,320.00,NVDA201211P00320000,0.025000000372529,0,0,0.39,0,1.9245,-0.0032,0.0001,0
Fri Dec 11 2020,NVDA201211C00325000,214.549995422363,0,217.75,220.85,0,0.02,1,0,0,325.00,NVDA201211P00325000,0.0599999986588955,0,0,0.46,0,1.876,-0.0033,0.0001,20
Fri Dec 11 2020,NVDA201211C00330000,209.549995422363,0,212.75,215.85,0,0.02,1,0,0,330.00,NVDA201211P00330000,0.0299999993294477,0,0,0.39,0,1.8239,-0.0034,0.0001,2
Fri Dec 11 2020,NVDA201211C00335000,204.549995422363,0,207.75,210.85,0,0.02,1,0,0,335.00,NVDA201211P00335000,0.0199999995529652,0,0,0.39,0,1.773,-0.0035,0.0001,12
Fri Dec 11 2020,NVDA201211C00340000,199.525001525879,0,202.75,205.85,0,0.02,1,0,0,340.00,NVDA201211P00340000,0.0149999996647239,0,0,0.39,0,1.7198,-0.0035,0.0001,21
Fri Dec 11 2020,NVDA201211C00345000,194.599998474121,0,197.75,200.85,0,0.02,1,0,0,345.00,NVDA201211P00345000,0.0450000017881393,0,0,0.43,0,1.376,-0.0006,0,20
Fri Dec 11 2020,NVDA201211C00350000,189.700004577637,0,192.75,195.85,0,0.02,1,0,2,350.00,NVDA201211P00350000,0.0149999996647239,0.015,0,0.04,2,1.3135,-0.0006,0,31
Fri Dec 11 2020,NVDA201211C00355000,184.549995422363,0,187.75,190.85,0,0.02,1,0.0001,0,355.00,NVDA201211P00355000,0.025000000372529,0,0,0.42,0,1.3135,-0.0008,0,6
Fri Dec 11 2020,NVDA201211C00360000,179.625,0,182.75,185.85,0,0.02,1,0.0001,2,360.00,NVDA201211P00360000,0.025000000372529,0,0,0.42,0,1.251,-0.0007,0,15
Fri Dec 11 2020,NVDA201211C00365000,174.625,0,177.75,180.85,0,0.02,1,0.0001,0,365.00,NVDA201211P00365000,0.0500000016763806,0,0,0.44,0,1.2197,-0.0007,0,9
Fri Dec 11 2020,NVDA201211C00370000,169.549995422363,0,172.75,175.85,0,0.02,1,0.0001,1,370.00,NVDA201211P00370000,0.0299999993294477,0,0,0.04,4,1.1885,-0.0008,0,19
Fri Dec 11 2020,NVDA201211C00375000,164.75,0,167.75,170.85,0,0.02,1,0.0001,0,375.00,NVDA201211P00375000,0.0550000015646219,0,0,0.44,0,1.2187,-0.0015,0.0001,49
Fri Dec 11 2020,NVDA201211C00380000,159.674995422363,0,162.75,165.85,0,0.02,1,0.0001,0,380.00,NVDA201211P00380000,0.0600000005215406,0,0,0.42,0,1.2958,-0.0034,0.0001,56
Fri Dec 11 2020,NVDA201211C00385000,154.300003051758,0,157.75,160.85,0,0.02,1,0.0001,0,385.00,NVDA201211P00385000,0.0400000000372529,0,0,0.45,0,1.0635,-0.0008,0,47
Fri Dec 11 2020,NVDA201211C00390000,149.550003051758,0,152.75,155.85,0,0.02,1,0.0001,0,390.00,NVDA201211P00390000,0.0400000000372529,-0.01,0,0.45,3,1.1515,-0.0025,0.0001,62
Fri Dec 11 2020,NVDA201211C00395000,144.549995422363,6.53,147.75,150.85,1,0.02,1,0.0001,1,395.00,NVDA201211P00395000,0.0799999982118606,0,0,0.45,0,1.0635,-0.0017,0.0001,35
Fri Dec 11 2020,NVDA201211C00400000,139.525001525879,3.295,142.75,145.85,2,0.02,1,0.0001,0,400.00,NVDA201211P00400000,0.0599999986588955,0,0,0.45,0,0.9842,-0.0012,0.0001,60
Fri Dec 11 2020,NVDA201211C00405000,134.525001525879,0,137.75,140.85,0,0.02,1,0.0001,1,405.00,NVDA201211P00405000,0.0700000021606684,0,0,0.19,0,0.9385,-0.0012,0.0001,50
Fri Dec 11 2020,NVDA201211C00410000,129.500003814697,0,132.75,135.85,0,0.02,1,0.0001,0,410.00,NVDA201211P00410000,0.0800000000745058,0,0,0.44,0,0.9023,-0.0012,0.0001,15
Fri Dec 11 2020,NVDA201211C00415000,124.799999237061,0,127.75,130.85,0,0.02,1,0.0009,0,415.00,NVDA201211P00415000,0.0850000008940697,-0.045,0,0.2,20,0.8495,-0.001,0.0001,3
Fri Dec 11 2020,NVDA201211C00420000,119.525001525879,0,122.75,125.9,0,0.02,1,0.0001,2,420.00,NVDA201211P00420000,0.0949999988079071,-0.075,0,0.46,1,0.8563,-0.0017,0.0001,36
Fri Dec 11 2020,NVDA201211C00425000,114.5,6.31,117.75,120.9,1,0.02,1,0.0001,1,425.00,NVDA201211P00425000,0.105000000447035,-0.075,0,0.03,1,0.771,-0.0011,0.0001,124
Fri Dec 11 2020,NVDA201211C00430000,109.524997711182,0,112.75,115.9,0,0.02,1,0.0001,2,430.00,NVDA201211P00430000,0.0849999971687794,-0.075,0,0.04,114,0.7655,-0.0016,0.0001,58
Fri Dec 11 2020,NVDA201211C00435000,104.200000762939,0,107.75,110.9,0,0.02,1,0.0002,2,435.00,NVDA201211P00435000,0.125,-0.105,0.01,0.21,10,0.8089,-0.0037,0.0002,135
Fri Dec 11 2020,NVDA201211C00440000,99.2250022888184,0,102.7,105.95,0,0.02,1,0.0011,3,440.00,NVDA201211P00440000,0.135000001639128,-0.105,0,0.03,13,0.6961,-0.0021,0.0002,113
Fri Dec 11 2020,NVDA201211C00445000,94.6499977111816,0,97.7,100.95,0,0.02,1,0.0012,1,445.00,NVDA201211P00445000,0.149999998509884,-0.11,0,0.23,39,0.6842,-0.0023,0.0002,200
Fri Dec 11 2020,NVDA201211C00450000,89.625,0,92.7,96,0,0.02,1,0.0001,65,450.00,NVDA201211P00450000,0.160000003874302,-0.12,0,0.06,539,0.6973,-0.0043,0.0003,566
Fri Dec 11 2020,NVDA201211C00455000,84.3000030517578,0,87.65,91.05,0,0.02,1,0.0014,3,455.00,NVDA201211P00455000,0.174999997019768,-0.115,0.03,0.07,188,0.6758,-0.0053,0.0004,204
Fri Dec 11 2020,NVDA201211C00460000,79.9750022888184,0,82.6,86.1,0,0.02,1,0.0015,3,460.00,NVDA201211P00460000,0.195000000298023,-0.115,0.07,0.2,988,0.6475,-0.0061,0.0005,1050
Fri Dec 11 2020,NVDA201211C00465000,74.6000022888184,0,77.6,80.95,0,0.02,1,0.0004,0,465.00,NVDA201211P00465000,0.229999996721745,-0.13,0,0.11,167,0.62,-0.0071,0.0006,205
Fri Dec 11 2020,NVDA201211C00470000,69.6750030517578,0,72.55,75.9,0,0.02,1,0.0004,59,470.00,NVDA201211P00470000,0.255000002682209,-0.155,0.05,0.11,125,0.5934,-0.0087,0.0007,413
Fri Dec 11 2020,NVDA201211C00475000,64.1749992370606,0,67.55,69.8,0,0.02,1,0.0004,8,475.00,NVDA201211P00475000,0.295000001788139,-0.195,0.05,0.21,72,0.5671,-0.0102,0.0008,303
Fri Dec 11 2020,NVDA201211C00480000,59.9250011444092,3.775,63.5,64.9,9,0.02,1,0.0023,321,480.00,NVDA201211P00480000,0.345000013709068,-0.215,0.07,0.14,291,0.5379,-0.0123,0.001,1188
Fri Dec 11 2020,NVDA201211C00485000,55.375,4.175,58.5,60.7,1,0.02,0.9653,0.0022,5,485.00,NVDA201211P00485000,0.429999992251396,-0.27,0.07,0.16,255,0.5155,-0.0154,0.0013,497
Fri Dec 11 2020,NVDA201211C00487500,51.9000015258789,3.33,54.95,57.65,10,0.02,1,0.0008,34,487.50,NVDA201211P00487500,0.480000004172325,-0.31,0.01,0.17,48,0.5022,-0.0171,0.0015,175
Fri Dec 11 2020,NVDA201211C00490000,50.1750011444092,2.675,53.7,55.3,24,0.02,0.969,0.0022,40,490.00,NVDA201211P00490000,0.53999999165535,-0.33,0.11,0.19,273,0.4921,-0.0197,0.0017,670
Fri Dec 11 2020,NVDA201211C00492500,47.375,0,49.9,53.25,0,0.02,1,0.001,28,492.50,NVDA201211P00492500,0.629999995231628,-0.45,0,0.22,57,0.478,-0.0223,0.0019,430
Fri Dec 11 2020,NVDA201211C00495000,44.6750011444092,3.095,47.4,50.3,1,0.02,1,0.0027,28,495.00,NVDA201211P00495000,0.724999994039536,-0.495,0.2,0.24,356,0.4679,-0.0251,0.0022,677
Fri Dec 11 2020,NVDA201211C00497500,42.8999996185303,3.5,46.15,48.75,2,0.02,0.9474,0.0035,62,497.50,NVDA201211P00497500,0.844999998807907,-0.595,0.12,0.27,414,0.457,-0.0288,0.0025,555
